AMD,1,1GB,2.00TB,$6.00
AMD,1,2GB,3.00TB,$12.00
AMD,2,2GB,4.00TB,$18.00
AMD,2,4GB,5.00TB,$24.00
AMD,4,8GB,6.00TB,$48.00
AMD,4,12GB,7.00TB,$72.00
AMD,8,16GB,8.00TB,$96.00
AMD,12,24GB,12.00TB,$144.00
Intel,1,1GB,2.00TB,$6.00
Intel,1,2GB,3.00TB,$12.00
Intel,2,2GB,4.00TB,$18.00
Intel,2,4GB,5.00TB,$24.00
Intel,4,8GB,6.00TB,$48.00
Intel,4,12GB,7.00TB,$72.00
Intel,8,16GB,8.00TB,$96.00
Intel,12,24GB,12.00TB,$144.00
Intel,1,1GB,1.00TB,$6
Intel,1,2GB,2.00TB,$12
Intel,2,2GB,3.00TB,$18
Intel,2,4GB,3.00TB,$24
Intel,3,8GB,4.00TB,$48
Intel,4,16GB,5.00TB,$96
Intel,6,24GB,6.00TB,$144
Intel,8,32GB,7.00TB,$192
Intel,12,48GB,8.00TB,$256
Intel,1,0.5GB,0.50TB,$2.50
Intel,1,0.5GB,0.50TB,$3.50
Intel,1,1GB,1.00TB,$5
Intel,1,2GB,2.00TB,$10
Intel,2,4GB,3.00TB,$20
Intel,4,8GB,4.00TB,$40
Intel,6,16GB,5.00TB,$80
Intel,8,32GB,6.00TB,$160
Intel,16,64GB,10.00TB,$320
Intel,24,96GB,15.00TB,$640
Another Brand,1,4GB,4.00TB,$30.00
Another Brand,2,8GB,5.00TB,$60.00
Another Brand,4,16GB,6.00TB,$120.00
Another Brand,8,32GB,7.00TB,$240.00
Another Brand,16,64GB,8.00TB,$480.00
Another Brand,24,96GB,9.00TB,$720.00
Another Brand,32,128GB,9.00TB,$960.00
Another Brand,40,160GB,10.00TB,"$1,200.00"
Another Brand,64,192GB,11.00TB,"$1,920.00"
Another Brand,96,255GB,12.00TB,"$3,840.00"
Another Brand,1,2GB,4.00TB,$28.00
Another Brand,2,4GB,5.00TB,$40.00
Another Brand,2,4GB,5.00TB,$45.00
Another Brand,4,8GB,6.00TB,$80.00
Another Brand,4,8GB,6.00TB,$90.00
Another Brand,8,16GB,7.00TB,$160.00
Another Brand,8,16GB,7.00TB,$180.00
Another Brand,16,32GB,8.00TB,$320.00
Another Brand,16,32GB,8.00TB,$360.00
Another Brand,32,64GB,9.00TB,$640.00
Another Brand,32,64GB,10.00TB,$720.00
Another Brand,1,8GB,5.00TB,$40.00
Another Brand,2,16GB,6.00TB,$80.00
Another Brand,2,16GB,6.00TB,$100.00
Another Brand,2,16GB,6.00TB,$125.00
Another Brand,4,32GB,8.00TB,$160.00
Another Brand,4,32GB,8.00TB,$195.00
Another Brand,4,32GB,8.00TB,$250.00
Another Brand,8,64GB,9.00TB,$320.00
Another Brand,8,64GB,9.00TB,$390.00
Another Brand,8,64GB,9.00TB,$500.00
Another Brand,16,128GB,10.00TB,$640.00
Another Brand,16,128GB,10.00TB,$785.00
Another Brand,16,128GB,10.00TB,"$1,000.00"
Another Brand,24,192GB,11.00TB,$960.00
Another Brand,24,192GB,11.00TB,"$1,175.00"
Another Brand,24,192GB,11.00TB,"$1,500.00"
Another Brand,32,256GB,12.00TB,"$1,280.00"
Another Brand,32,256GB,12.00TB,"$1,565.00"
Another Brand,32,256GB,12.00TB,"$2,000.00"
Another Brand,1,8GB,4.00TB,$75.00
Another Brand,2,16GB,6.00TB,$125.00
Another Brand,2,16GB,6.00TB,$155.00
Another Brand,4,32GB,7.00TB,$250.00
Another Brand,4,32GB,7.00TB,$310.00
Another Brand,8,64GB,8.00TB,$500.00
Another Brand,8,64GB,8.00TB,$620.00
Another Brand,16,128GB,9.00TB,"$1,000.00"
Another Brand,16,128GB,9.00TB,"$1,240.00"
Another Brand,24,192GB,10.00TB,"$1,500.00"
Another Brand,24,192GB,10.00TB,"$1,850.00"
Another Brand,32,256GB,12.00TB,"$2,000.00"
Another Brand,32,256GB,14.00TB,"$2,480.00"
